codice articolo;codice magazzino;anno;ordinato cliente;ordinato fornitore;prenotato cliente;carico;scarico;inventario
2214L;00;2018;0;0;0;0;0;0
2221L;00;2018;0;0;0;0;0;0
2252L;00;2018;0;0;0;0;0;0
2337;00;2018;0;0;0;0;0;0
2337G;00;2018;0;0;0;0;0;0
2344;00;2018;0;0;0;0;0;0
2344G;00;2018;0;0;0;0;0;0
2351G;00;2018;0;0;0;0;0;0
2351;00;2018;0;0;0;0;0;0
2368;00;2018;0;0;0;0;0;0
2368G;00;2018;0;0;0;0;0;0
2375G;00;2018;0;0;0;0;0;0
2375;00;2018;0;0;0;0;0;0
2382;00;2018;0;0;0;0;0;0
2382g;00;2018;0;0;0;0;0;0
2887;00;2018;0;11088;0;0;0;2275
2894;00;2018;0;9792;0;0;0;4392
2917;00;2018;0;0;0;0;0;0
2931;00;2018;0;0;0;0;0;6846
2948;00;2018;0;0;0;0;0;40227
2955;00;2018;0;0;0;0;0;5388
2962;00;2018;0;0;0;0;0;0
2979;00;2018;0;0;0;0;0;0
2986;00;2018;0;8496;0;0;0;7609
2993;00;2018;0;0;0;0;0;17632
3006;00;2018;0;0;0;0;0;14701
3013;00;2018;0;0;0;0;0;5817
3051;00;2018;0;0;0;0;0;7866
3068;00;2018;0;0;0;0;0;6632
3075;00;2018;0;0;0;0;0;1039
3082;00;2018;0;0;0;0;0;2095
3105;00;2018;0;14400;0;0;0;15445
3112;00;2018;0;28800;0;0;0;13393
3129;00;2018;0;23040;0;0;0;10711
3136;00;2018;0;17280;0;0;0;8472
3143;00;2018;0;14400;0;0;0;-354
3150;00;2018;0;14400;0;0;0;14658
3167;00;2018;0;3600;0;0;0;19342
3174;00;2018;0;3600;0;0;0;22029
3181;00;2018;0;7200;0;0;0;27348
3198;00;2018;0;0;0;0;0;34272
3204;00;2018;0;0;0;0;0;9845
4553;00;2018;0;0;0;0;0;437
4560;00;2018;0;0;0;0;0;880
4577;00;2018;0;0;0;0;0;1034
4584;00;2018;0;0;0;0;0;1560
4591;00;2018;0;0;0;0;0;1815
4652;00;2018;0;0;0;0;0;-96
4669;00;2018;0;0;0;0;0;719
4676;00;2018;0;0;0;0;0;1760
4683;00;2018;0;0;0;0;0;2400
4690;00;2018;0;0;0;0;0;1216
4720;00;2018;0;0;0;0;0;2900
5215;00;2018;0;0;0;0;0;0
5222;00;2018;0;0;0;0;0;0
5239;00;2018;0;0;0;0;0;0
5246;00;2018;0;0;0;0;0;0
5253;00;2018;0;0;0;0;0;0
4348;00;2018;0;0;0;0;0;18600
4355;00;2018;0;0;0;0;0;0
4447;00;2018;0;0;0;0;0;0
4454;00;2018;0;0;0;0;0;2898
4461;00;2018;0;0;0;0;0;8131
4423;00;2018;0;0;0;0;0;0
4430;00;2018;0;0;0;0;0;0
4362;00;2018;0;0;0;0;0;1461
4379;00;2018;0;0;0;0;0;1486
4539;00;2018;0;0;0;0;0;-44
2504;00;2018;0;0;0;0;0;-5
4478;00;2018;0;0;0;0;0;265
2511;00;2018;0;0;0;0;0;66
4485;00;2018;0;0;0;0;0;0
4508;00;2018;0;0;0;0;0;0
4393;00;2018;0;0;0;0;0;0
4409;00;2018;0;0;0;0;0;0
3235;00;2018;0;0;0;0;0;-170
3242;00;2018;0;0;0;0;0;0
3259;00;2018;0;0;0;0;0;495
3266;00;2018;0;0;0;0;0;-206
3273;00;2018;0;0;0;0;0;2349
3280;00;2018;0;0;0;0;0;3832
3303;00;2018;0;0;0;0;0;-48
3310;00;2018;0;0;0;0;0;-275
3327;00;2018;0;0;0;0;0;366
3334;00;2018;0;0;0;0;0;1096
3341;00;2018;0;0;0;0;0;-212
3389;00;2018;0;0;0;0;0;0
3402;00;2018;0;0;0;0;0;4312
3419;00;2018;0;0;0;0;0;2138
3433;00;2018;0;0;0;0;0;633
3495;00;2018;0;0;0;0;0;0
3501;00;2018;0;0;0;0;0;0
4249;00;2018;0;0;0;0;0;0
4256;00;2018;0;0;0;0;0;0
4263;00;2018;0;0;0;0;0;366
4270;00;2018;0;0;0;0;0;456
4287;00;2018;0;0;0;0;0;624
4294;00;2018;0;0;0;0;0;-18
4300;00;2018;0;0;0;0;0;678
4317;00;2018;0;0;0;0;0;750
4324;00;2018;0;0;0;0;0;66
4331;00;2018;0;0;0;0;0;798
4898;00;2018;0;0;0;0;0;706
4904;00;2018;0;0;0;0;0;0
4911;00;2018;0;0;0;0;0;756
4928;00;2018;0;0;0;0;0;966
4935;00;2018;0;0;0;0;0;870
4942;00;2018;0;0;0;0;0;930
4959;00;2018;0;0;0;0;0;1158
4966;00;2018;0;0;0;0;0;1230
4973;00;2018;0;0;0;0;0;66
4980;00;2018;0;0;0;0;0;1098
4997;00;2018;0;0;0;0;0;0
5000;00;2018;0;0;0;0;0;15
5017;00;2018;0;0;0;0;0;390
5024;00;2018;0;0;0;0;0;414
5031;00;2018;0;0;0;0;0;30
5048;00;2018;0;0;0;0;0;432
5055;00;2018;0;0;0;0;0;606
5062;00;2018;0;0;0;0;0;750
5079;00;2018;0;0;0;0;0;111
5086;00;2018;0;0;0;0;0;667
5093;00;2018;0;0;0;0;0;0
5109;00;2018;0;0;0;0;0;0
5116;00;2018;0;0;0;0;0;450
5123;00;2018;0;0;0;0;0;420
5130;00;2018;0;0;0;0;0;816
5147;00;2018;0;0;0;0;0;696
5154;00;2018;0;0;0;0;0;120
5161;00;2018;0;0;0;0;0;90
5178;00;2018;0;0;0;0;0;468
5185;00;2018;0;0;0;0;0;552
5192;00;2018;0;0;0;0;0;134
5208;00;2018;0;0;0;0;0;0
2870;00;2018;0;0;0;0;0;0
2856;00;2018;0;0;0;0;0;2130
2863;00;2018;0;0;0;0;0;0
2764;00;2018;0;0;0;0;0;0
2788;00;2018;0;0;0;0;0;0
2801;00;2018;0;0;0;0;0;0
2825;00;2018;0;0;0;0;0;0
2757;00;2018;0;0;0;0;0;0
2771;00;2018;0;0;0;0;0;98
2795;00;2018;0;0;0;0;0;-112
2818;00;2018;0;0;0;0;0;0
2849;00;2018;0;0;0;0;0;6087
4843;00;2018;0;0;0;0;0;0
4850;00;2018;0;0;0;0;0;0
4867;00;2018;0;0;0;0;0;0
4874;00;2018;0;0;0;0;0;216
4881;00;2018;0;0;0;0;0;0
3884;00;2018;0;0;0;0;0;0
3891;00;2018;0;0;0;0;0;0
3907;00;2018;0;0;0;0;0;0
3914;00;2018;0;0;0;0;0;0
3921;00;2018;0;0;0;0;0;0
3938;00;2018;0;0;0;0;0;0
3945;00;2018;0;0;0;0;0;0
3952;00;2018;0;0;0;0;0;0
3969;00;2018;0;0;0;0;0;0
3983;00;2018;0;0;0;0;0;0
3990;00;2018;0;0;0;0;0;0
4003;00;2018;0;0;0;0;0;0
4010;00;2018;0;0;0;0;0;0
4027;00;2018;0;0;0;0;0;0
4034;00;2018;0;0;0;0;0;0
4041;00;2018;0;0;0;0;0;0
4058;00;2018;0;0;0;0;0;0
4065;00;2018;0;0;0;0;0;0
4072;00;2018;0;0;0;0;0;0
4089;00;2018;0;0;0;0;0;0
4096;00;2018;0;0;0;0;0;0
4102;00;2018;0;0;0;0;0;0
4119;00;2018;0;0;0;0;0;0
4126;00;2018;0;0;0;0;0;0
4133;00;2018;0;0;0;0;0;0
4140;00;2018;0;0;0;0;0;0
4157;00;2018;0;0;0;0;0;0
4164;00;2018;0;0;0;0;0;0
4171;00;2018;0;0;0;0;0;0
4188;00;2018;0;0;0;0;0;0
4195;00;2018;0;0;0;0;0;0
4201;00;2018;0;0;0;0;0;0
4218;00;2018;0;0;0;0;0;0
4225;00;2018;0;0;0;0;0;0
4232;00;2018;0;0;0;0;0;0
1507r;00;2018;0;0;0;0;0;0
1507ro;00;2018;0;0;0;0;0;0
1507a;00;2018;0;0;0;0;0;0
1507bl;00;2018;0;0;0;0;0;0
1507v;00;2018;0;0;0;0;0;0
1507g;00;2018;0;0;0;0;0;0
1507n;00;2018;0;0;0;0;0;0
1514n;00;2018;0;0;0;0;0;0
1514ro;00;2018;0;0;0;0;0;0
1514a;00;2018;0;0;0;0;0;0
1514bl;00;2018;0;0;0;0;0;0
1514g;00;2018;0;0;0;0;0;0
2443e;00;2018;0;0;0;0;0;0
2412;00;2018;0;0;0;0;0;0
2412g;00;2018;0;0;0;0;0;0
4744b;00;2018;0;0;0;0;0;6408
4751b;00;2018;0;0;0;0;0;6408
5833;00;2018;0;0;0;0;0;104
5826;00;2018;0;0;0;0;0;746
5802;00;2018;0;0;0;0;0;0
5789;00;2018;0;0;0;0;0;0
5796;00;2018;0;0;0;0;0;0
5819;00;2018;0;0;0;0;0;0
5772;00;2018;0;0;0;0;0;1
5758;00;2018;0;0;0;0;0;0
5765;00;2018;0;0;0;0;0;0
0937;00;2018;0;0;0;0;0;-30
2924;00;2018;0;0;0;0;0;0
4744;00;2018;0;0;0;0;0;-92
4751;00;2018;0;0;0;0;0;-340
4546;00;2018;0;0;0;0;0;1590
4607;00;2018;0;0;0;0;0;1686
4614;00;2018;0;0;0;0;0;2560
5864;00;2018;0;0;0;0;0;0
5840;00;2018;0;0;0;0;0;0
5857;00;2018;0;0;0;0;0;0
3488;00;2018;0;0;0;0;0;1678
2221;00;2018;0;0;0;0;0;0
2238;00;2018;0;0;0;0;0;0
2245;00;2018;0;0;0;0;0;0
4416;00;2018;0;0;0;0;0;1503
2238I;00;2018;0;0;0;0;0;0
2245R;00;2018;0;0;0;0;0;0
2740;00;2018;0;0;0;0;0;0
1552;00;2018;0;0;0;0;0;1184
1026;00;2018;0;0;0;0;0;6467
1224;00;2018;0;0;0;0;0;72
4522;00;2018;0;0;0;0;0;0
1217;00;2018;0;0;0;0;0;0
3976;00;2018;0;0;0;0;0;0
3297;00;2018;0;0;0;0;0;-2138
3372;00;2018;0;0;0;0;0;-3138
1941;00;2018;0;0;0;0;0;1200
3518;00;2018;0;0;0;0;0;-2452
3396;00;2018;0;0;0;0;0;-52
1767;00;2018;0;0;0;0;0;0
5925;00;2018;0;0;0;0;0;0
5932;00;2018;0;0;0;0;0;0
5871;00;2018;0;0;0;0;0;9554
5888;00;2018;0;0;0;0;0;9202
5895;00;2018;0;0;0;0;0;1492
5901;00;2018;0;0;0;0;0;4637
5918;00;2018;0;0;0;0;0;12852
5949;00;2018;0;0;0;0;0;3352
5956;00;2018;0;0;0;0;0;776
5963;00;2018;0;0;0;0;0;548
6007;00;2018;0;0;0;0;0;0
3525;00;2018;0;0;0;0;0;291
3532;00;2018;0;0;0;0;0;-1210
3358;00;2018;0;0;0;0;0;672
3020;00;2018;0;0;0;0;0;264
3037;00;2018;0;0;0;0;0;480
3044;00;2018;0;0;0;0;0;0
3464;00;2018;0;0;0;0;0;525
3471;00;2018;0;0;0;0;0;214
3440;00;2018;0;0;0;0;0;853
3457;00;2018;0;0;0;0;0;-58
2320;00;2018;0;0;0;0;0;4162
1286;00;2018;0;0;0;0;0;0
1453;00;2018;0;0;0;0;0;1368
5970;00;2018;0;0;0;0;0;0
6076;00;2018;0;0;0;0;0;1488
5994;00;2018;0;0;0;0;0;0
2900;00;2018;0;0;0;0;0;0
4515;00;2018;0;0;0;0;0;0
4492;00;2018;0;0;0;0;0;0
6021;00;2018;0;0;0;0;0;3469
4768;00;2018;0;0;0;0;0;0
0234;00;2018;0;0;0;0;0;0
2733;00;2018;0;0;0;0;0;0
2269;00;2018;0;0;0;0;0;0
6069;00;2018;0;0;0;0;0;0
2832;00;2018;0;0;0;0;0;3193
4645;00;2018;0;0;0;0;0;2429
4706;00;2018;0;0;0;0;0;2036
4713;00;2018;0;0;0;0;0;3018
4737;00;2018;0;0;0;0;0;3075
4621;00;2018;0;0;0;0;0;2702
4638;00;2018;0;0;0;0;0;3016
1507;00;2018;0;0;0;0;0;5124
6106;00;2018;0;0;0;0;0;1047
6113;00;2018;0;0;0;0;0;1080
6120;00;2018;0;0;0;0;0;633
1569;00;2018;0;0;0;0;0;1191
6038;00;2018;0;0;0;0;0;927
5437;00;2018;0;0;0;0;0;160
6014;00;2018;0;0;0;0;0;136
6137;00;2018;0;0;0;0;0;994
6144;00;2018;0;0;0;0;0;-11
6151;00;2018;0;0;0;0;0;2697
1521;00;2018;0;0;0;0;0;0
2283;00;2018;0;0;0;0;0;0
6168;00;2018;0;0;0;0;0;10896
6175;00;2018;0;0;0;0;0;11616
6045;00;2018;0;0;0;0;0;0
6052;00;2018;0;0;0;0;0;0
6083;00;2018;0;0;0;0;0;0
6090;00;2018;0;0;0;0;0;0
1545;00;2018;0;0;0;0;0;0
1576;00;2018;0;0;0;0;0;2
2498;00;2018;0;0;0;0;0;0
6182;00;2018;0;0;0;0;0;0
6199;00;2018;0;0;0;0;0;0
6205;00;2018;0;0;0;0;0;0
6212;00;2018;0;0;0;0;0;0
6229;00;2018;0;0;0;0;0;0
6236;00;2018;0;0;0;0;0;0
6243;00;2018;0;0;0;0;0;0
A70B;00;2018;0;0;0;0;0;0
A70ROSA;00;2018;0;0;0;0;0;0
A70C;00;2018;0;0;0;0;0;0
A70M;00;2018;0;0;0;0;0;0
AF70;00;2018;0;0;0;0;0;0
PT/20;00;2018;0;0;0;0;0;23240
PTF/20;00;2018;0;0;0;0;0;0
GM90 29;00;2018;0;0;0;0;0;-9820
GM90 39;00;2018;0;0;0;0;0;2885
3679;00;2018;0;0;0;0;0;-88
3686;00;2018;0;0;0;0;0;0
3693;00;2018;0;0;0;0;0;0
3709;00;2018;0;0;0;0;0;-4000
3716;00;2018;0;0;0;0;0;0
3723;00;2018;0;0;0;0;0;0
3730;00;2018;0;0;0;0;0;0
5338;00;2018;0;0;0;0;0;0
5260;00;2018;0;0;0;0;0;0
5277;00;2018;0;0;0;0;0;0
5314;00;2018;0;0;0;0;0;0
5321;00;2018;0;0;0;0;0;0
5307;00;2018;0;0;0;0;0;4653
5291;00;2018;0;0;0;0;0;-132
5284;00;2018;0;0;0;0;0;3585
3808;00;2018;0;0;0;0;0;12
6298;00;2018;0;0;0;0;0;1125
6304;00;2018;0;0;0;0;0;670
6311;00;2018;0;0;0;0;0;25
6328;00;2018;0;0;0;0;0;0
6335;00;2018;0;0;0;0;0;0
6342;00;2018;0;0;0;0;0;0
6359;00;2018;0;0;0;0;0;0
6366;00;2018;0;0;0;0;0;24
6373;00;2018;0;0;0;0;0;89
6380;00;2018;0;0;0;0;0;115
6397;00;2018;0;0;0;0;0;22
6403;00;2018;0;0;0;0;0;0
6410;00;2018;0;0;0;0;0;0
6427;00;2018;0;0;0;0;0;0
6434;00;2018;0;0;0;0;0;3592
6441;00;2018;0;0;0;0;0;3876
6458;00;2018;0;0;0;0;0;1524
6465;00;2018;0;0;0;0;0;2268
6472;00;2018;0;0;0;0;0;-69
6489;00;2018;0;0;0;0;0;2466
6496;00;2018;0;0;0;0;0;5742
6502;00;2018;0;0;0;0;0;0
6519;00;2018;0;0;0;0;0;8782
6526;00;2018;0;0;0;0;0;5664
6533;00;2018;0;0;0;0;0;246
6540;00;2018;0;0;0;0;0;3180
6557;00;2018;0;0;0;0;0;6172
6564;00;2018;0;0;0;0;0;3156
6571;00;2018;0;0;0;0;0;3366
6250;00;2018;0;0;0;0;0;0
6267;00;2018;0;0;0;0;0;0
6274;00;2018;0;0;0;0;0;0
6281;00;2018;0;0;0;0;0;0
4836;00;2018;0;0;0;0;0;0
6618;00;2018;0;0;0;0;0;0
6670;00;2018;0;0;0;0;0;0
6656;00;2018;0;0;0;0;0;0
6601;00;2018;0;0;0;0;0;183
6632;00;2018;0;0;0;0;0;-84
6649;00;2018;0;0;0;0;0;0
6663;00;2018;0;0;0;0;0;-36
6625;00;2018;0;0;0;0;0;12
1507b;00;2018;0;0;0;0;0;0
6588;00;2018;0;0;0;0;0;0
6595;00;2018;0;0;0;0;0;0
6687;00;2018;0;0;0;0;0;0
6694;00;2018;0;0;0;0;0;0
3747;00;2018;0;0;0;0;0;78
5604;00;2018;0;0;0;0;0;9444
5611;00;2018;0;0;0;0;0;-216
5628;00;2018;0;0;0;0;0;5028
5635;00;2018;0;0;0;0;0;8093
5642;00;2018;0;0;0;0;0;10008
5659;00;2018;0;0;0;0;0;10608
5666;00;2018;0;0;0;0;0;984
5673;00;2018;0;0;0;0;0;-2463
5680;00;2018;0;0;0;0;0;6662
5697;00;2018;0;0;0;0;0;16588
5703;00;2018;0;0;0;0;0;8315
5710;00;2018;0;0;0;0;0;6999
5727;00;2018;0;0;0;0;0;13664
3778;00;2018;0;0;0;0;0;0
3785;00;2018;0;0;0;0;0;-8
3792;00;2018;0;0;0;0;0;0
3761;00;2018;0;0;0;0;0;0
3815;00;2018;0;0;0;0;0;0
6731;00;2018;0;0;0;0;0;304
6748;00;2018;0;0;0;0;0;466
6700;00;2018;0;0;0;0;0;-110
6724;00;2018;0;0;0;0;0;0
6717;00;2018;0;0;0;0;0;90
3754;00;2018;0;0;0;0;0;6
TMY-;00;2018;0;0;0;0;0;0
5444;00;2018;0;0;0;0;0;-5
5451;00;2018;0;0;0;0;0;6
5468;00;2018;0;0;0;0;0;348
5475;00;2018;0;0;0;0;0;396
5482;00;2018;0;0;0;0;0;492
5499;00;2018;0;0;0;0;0;1648
5505;00;2018;0;0;0;0;0;564
5512;00;2018;0;0;0;0;0;420
5529;00;2018;0;0;0;0;0;1560
5536;00;2018;0;0;0;0;0;420
BROU;00;2018;0;0;0;0;0;0
EXP PY;00;2018;0;0;0;0;0;0
GPF65;00;2018;0;0;0;0;0;-4950
GM90;00;2018;0;0;0;0;0;-2585
GPF25;00;2018;0;0;0;0;0;-1257
GPF35;00;2018;0;0;0;0;0;3273
CR 2;00;2018;0;0;0;0;0;1932
CR Bianco;00;2018;0;0;0;0;0;-25960
CR Rosso;00;2018;0;0;0;0;0;0
5741;00;2018;0;0;0;0;0;2347
5734;00;2018;0;0;0;0;0;2903
2399;00;2018;0;0;0;0;0;0
5369;00;2018;0;0;0;0;0;2328
5345;00;2018;0;0;0;0;0;2556
6847;00;2018;0;0;0;0;0;0
6854;00;2018;0;0;0;0;0;0
6861;00;2018;0;0;0;0;0;0
6878;00;2018;0;0;0;0;0;0
6885;00;2018;0;0;0;0;0;0
6892;00;2018;0;0;0;0;0;0
6908;00;2018;0;0;0;0;0;0
6915;00;2018;0;0;0;0;0;0
6922;00;2018;0;0;0;0;0;0
6939;00;2018;0;0;0;0;0;0
6946;00;2018;0;0;0;0;0;0
3908;00;2018;0;0;0;0;0;1224
3977;00;2018;0;0;0;0;0;2052
95930;00;2018;0;0;0;0;0;0
95935;00;2018;0;0;0;0;0;0
3878;00;2018;0;0;0;0;0;2820
2437;00;2018;0;0;0;0;0;0
3823;00;2018;0;0;0;0;0;0
6953;00;2018;0;0;0;0;0;0
6960;00;2018;0;0;0;0;0;0
6977;00;2018;0;0;0;0;0;0
6984;00;2018;0;0;0;0;0;0
6991;00;2018;0;0;0;0;0;0
7004;00;2018;0;0;0;0;0;0
7011;00;2018;0;0;0;0;0;0
7028;00;2018;0;0;0;0;0;0
7035;00;2018;0;0;0;0;0;0
7042;00;2018;0;0;0;0;0;0
7059;00;2018;0;0;0;0;0;0
7066;00;2018;0;0;0;0;0;0
7073;00;2018;0;0;0;0;0;0
7080;00;2018;0;0;0;0;0;0
7097;00;2018;0;0;0;0;0;0
7103;00;2018;0;0;0;0;0;0
7110;00;2018;0;0;0;0;0;0
5987;00;2018;0;0;0;0;0;0
7264;00;2018;0;0;0;0;0;0
7271;00;2018;0;0;0;0;0;0
7288;00;2018;0;0;0;0;0;0
7295;00;2018;0;0;0;0;0;0
7301;00;2018;0;0;0;0;0;0
7318;00;2018;0;0;0;0;0;0
7325;00;2018;0;0;0;0;0;0
7332;00;2018;0;0;0;0;0;0
7349;00;2018;0;0;0;0;0;0
7356;00;2018;0;0;0;0;0;0
7363;00;2018;0;0;0;0;0;0
7370;00;2018;0;0;0;0;0;0
7387;00;2018;0;0;0;0;0;0
7394;00;2018;0;0;0;0;0;0
7400;00;2018;0;0;0;0;0;0
7417;00;2018;0;0;0;0;0;0
7424;00;2018;0;0;0;0;0;0
7431;00;2018;0;0;0;0;0;0
7448;00;2018;0;0;0;0;0;0
7455;00;2018;0;0;0;0;0;0
7462;00;2018;0;0;0;0;0;0
7479;00;2018;0;0;0;0;0;0
7486;00;2018;0;0;0;0;0;0
7493;00;2018;0;0;0;0;0;0
7509;00;2018;0;0;0;0;0;0
7523;00;2018;0;0;0;0;0;0
7530;00;2018;0;0;0;0;0;0
7547;00;2018;0;0;0;0;0;0
7554;00;2018;0;0;0;0;0;0
7561;00;2018;0;0;0;0;0;0
7578;00;2018;0;0;0;0;0;0
7585;00;2018;0;0;0;0;0;0
7592;00;2018;0;0;0;0;0;0
7608;00;2018;0;0;0;0;0;0
7615;00;2018;0;0;0;0;0;0
7622;00;2018;0;0;0;0;0;0
7639;00;2018;0;0;0;0;0;0
7646;00;2018;0;0;0;0;0;0
7653;00;2018;0;0;0;0;0;0
7660;00;2018;0;0;0;0;0;144
7677;00;2018;0;0;0;0;0;0
7684;00;2018;0;0;0;0;0;0
7691;00;2018;0;0;0;0;0;192
7707;00;2018;0;0;0;0;0;0
7714;00;2018;0;0;0;0;0;0
7721;00;2018;0;0;0;0;0;0
7738;00;2018;0;0;0;0;0;0
7745;00;2018;0;0;0;0;0;0
7516;00;2018;0;0;0;0;0;0
7127;00;2018;0;0;0;0;0;1116
7134;00;2018;0;0;0;0;0;1116
7141;00;2018;0;0;0;0;0;3624
7158;00;2018;0;0;0;0;0;912
7165;00;2018;0;0;0;0;0;576
7172;00;2018;0;0;0;0;0;1404
7189;00;2018;0;0;0;0;0;84
7196;00;2018;0;0;0;0;0;-47
7202;00;2018;0;0;0;0;0;1452
7219;00;2018;0;0;0;0;0;1236
7226;00;2018;0;0;0;0;0;2940
7233;00;2018;0;0;0;0;0;0
7240;00;2018;0;0;0;0;0;0
7257;00;2018;0;0;0;0;0;1674
PM20;00;2018;0;0;0;0;0;0
7752;00;2018;0;0;0;0;0;0
7769;00;2018;0;0;0;0;0;0
7776;00;2018;0;0;0;0;0;0
7783;00;2018;0;0;0;0;0;0
7790;00;2018;0;0;0;0;0;0
7806;00;2018;0;0;0;0;0;0
7813;00;2018;0;0;0;0;0;0
7820;00;2018;0;0;0;0;0;0
7837;00;2018;0;0;0;0;0;0
7844;00;2018;0;0;0;0;0;0
7851;00;2018;0;0;0;0;0;0
7868;00;2018;0;0;0;0;0;0
7875;00;2018;0;0;0;0;0;0
7882;00;2018;0;0;0;0;0;0
7899;00;2018;0;0;0;0;0;0
7905;00;2018;0;0;0;0;0;0
7912;00;2018;0;0;0;0;0;0
7929;00;2018;0;0;0;0;0;0
GPBF1;00;2018;0;0;0;0;0;0
GPF15;00;2018;0;0;0;0;0;4775
3822;00;2018;0;0;0;0;0;14920
1828;00;2018;0;0;0;0;0;24
1835;00;2018;0;0;0;0;0;0
1842;00;2018;0;0;0;0;0;24
1859;00;2018;0;0;0;0;0;0
1866;00;2018;0;0;0;0;0;720
1880;00;2018;0;0;0;0;0;696
7936;00;2018;0;0;0;0;0;0
7943;00;2018;0;0;0;0;0;0
7950;00;2018;0;0;0;0;0;0
7967;00;2018;0;0;0;0;0;0
7974;00;2018;0;0;0;0;0;0
7981;00;2018;0;0;0;0;0;0
7998;00;2018;0;0;0;0;0;0
8001;00;2018;0;0;0;0;0;0
8018;00;2018;0;0;0;0;0;0
8025;00;2018;0;0;0;0;0;0
8032;00;2018;0;0;0;0;0;144
8049;00;2018;0;0;0;0;0;120
8056;00;2018;0;0;0;0;0;0
8063;00;2018;0;0;0;0;0;0
8070;00;2018;0;0;0;0;0;0
8087;00;2018;0;0;0;0;0;0
8094;00;2018;0;0;0;0;0;0
8100;00;2018;0;0;0;0;0;0
8117;00;2018;0;0;0;0;0;0
